"","name","event","timeSecs","timeMins","country","country2","year","medal","city","sex","gdp","pop","age","height","weight","dist"
"95","francis obikwelu","100M Men",9.86,0.164333333333333,"POR","Portugal",2004,"S","Athens","M",2.68e+11,10500000,25,195,79,100
"96","maurice greene","100M Men",9.87,0.1645,"USA","United States",2004,"B","Athens","M",1.44e+13,293000000,30,176,80,100
"97","donovan bailey","100M Men",9.84,0.164,"CAN","Canada",1996,"G","Atlanta","M",9.38e+11,29600000,28,183,82,100
"98","frank fredericks","100M Men",9.89,0.164833333333333,"NAM","Namibia",1996,"S","Atlanta","M",1.08e+10,1710000,28,180,73,100
"99","ato boldon","100M Men",9.9,0.165,"TTO","Trinidad and Tobago",1996,"B","Atlanta","M",1.79e+10,1260000,22,176,75,100
"100","allan wells","100M Men",10.25,0.170833333333333,"GBR","United Kingdom",1980,"G","Moscow","M",1.08e+12,56300000,28,183,86,100
"101","silvio leonard sarria","100M Men",10.25,0.170833333333333,"CUB","Cuba",1980,"S","Moscow","M",1.25e+11,9840000,24,173,64,100
"102","robert taylor","100M Men",10.24,0.170666666666667,"USA","United States",1972,"S","Munich","M",5.5e+12,213000000,23,183,80,100
"103","lennox miller","100M Men",10.33,0.172166666666667,"JAM","Jamaica",1972,"B","Munich","M",1.74e+10,1930000,25,183,79,100
"104","bob hayes","100M Men",10,0.166666666666667,"USA","United States",1964,"G","Tokyo","M",4.07e+12,197000000,21,183,86,100
"105","enrique figuerola","100M Men",10.2,0.17,"CUB","Cuba",1964,"S","Tokyo","M",7.52e+10,7790000,26,167,67,100
"106","harry jerome","100M Men",10.2,0.17,"CAN","Canada",1964,"B","Tokyo","M",3.17e+11,19400000,24,180,77,100
"107","bobby morrow","100M Men",10.5,0.175,"USA","United States",1956,"G","Melbourne / Stockholm","M",3.08e+12,175000000,21,186,75,100
"108","thane baker","100M Men",10.5,0.175,"USA","United States",1956,"S","Melbourne / Stockholm","M",3.08e+12,175000000,25,183,72,100
"109","hector hogan","100M Men",10.6,0.176666666666667,"AUS","Australia",1956,"B","Melbourne / Stockholm","M",1.22e+11,9420000,25,170,65,100
"110","harrison dillard","100M Men",10.3,0.171666666666667,"USA","United States",1948,"G","London","M",2.16e+12,150000000,25,178,69,100
