"","Name","Year","Sex","Age","Height","Weight","Team","NOC","Event"
"3658","Jrg Vaihinger",1988,"M",25,191,84,"West Germany","FRG","Athletics Men's 4 x 400 metres Relay"
"3659","Carmen Laura Valds Capote",1972,"F",17,167,54,"Cuba","CUB","Athletics Women's 4 x 100 metres Relay"
"3660","Howard Van Nostrand Valentine",1904,"M",22,NA,NA,"United States","USA","Athletics Men's 800 metres"
"3661","Howard Van Nostrand Valentine",1904,"M",22,NA,NA,"New York Athletic Club","USA","Athletics Men's 4 mile, Team"
"3662","Remigijus Valiulis",1980,"M",21,186,80,"Soviet Union","URS","Athletics Men's 4 x 400 metres Relay"
"3663","Jorma Rainer Valkama",1956,"M",28,172,66,"Finland","FIN","Athletics Men's Long Jump"
"3664","Trebisonda ""Ondina"" Valla (-De Lucchi)",1936,"F",20,NA,NA,"Italy","ITA","Athletics Women's 80 metres Hurdles"
"3665","Andrew Orlando Valmon",1988,"M",23,185,78,"United States","USA","Athletics Men's 4 x 400 metres Relay"
"3666","Andrew Orlando Valmon",1992,"M",27,185,78,"United States","USA","Athletics Men's 4 x 400 metres Relay"
"3667","Ivo Van Damme",1976,"M",22,191,76,"Belgium","BEL","Athletics Men's 800 metres"
"3668","Ivo Van Damme",1976,"M",22,191,76,"Belgium","BEL","Athletics Men's 1,500 metres"
"3669","Marinus ""Rinus"" van den Berge",1924,"M",24,171,65,"Netherlands","NED","Athletics Men's 4 x 100 metres Relay"
"3670","Gerda Johanna Marie van der Kade-Koudijs",1948,"F",24,NA,NA,"Netherlands","NED","Athletics Women's 4 x 100 metres Relay"
"3671","Ellen Gezina Maria van Langen",1992,"F",26,172,57,"Netherlands","NED","Athletics Women's 800 metres"
"3672","Wayde van Niekerk",2016,"M",24,183,70,"South Africa","RSA","Athletics Men's 400 metres"
"3673","Robert Logan ""Bob"" Van Osdel",1932,"M",22,183,68,"United States","USA","Athletics Men's High Jump"
"3674","Gza Varasdi",1952,"M",24,NA,NA,"Hungary","HUN","Athletics Men's 4 x 100 metres Relay"
"3675","Vilmos Varj",1964,"M",27,189,140,"Hungary","HUN","Athletics Men's Shot Put"
"3676","Jzsef Vrszegi (Vennesz-)",1948,"M",37,182,80,"Hungary","HUN","Athletics Men's Javelin Throw"
"3677","Pekka Antero Vasala",1972,"M",24,184,64,"Finland","FIN","Athletics Men's 1,500 metres"
"3678","Mara del Monte Vasc Pes Gallardo",2000,"F",24,157,45,"Spain","ESP","Athletics Women's 20 kilometres Walk"
"3679","Kharilaos Vasilakos",1896,"M",NA,NA,NA,"Greece","GRE","Athletics Men's Marathon"
"3680","Vadims Vasievskis",2004,"M",22,188,102,"Latvia","LAT","Athletics Men's Javelin Throw"
"3681","Daniel Roger Vlasquez",1972,"M",28,175,70,"France","FRA","Athletics Men's 4 x 400 metres Relay"
"3682","David Verburg",2016,"M",25,173,70,"United States","USA","Athletics Men's 4 x 400 metres Relay"
"3683","Mariya Dimitrova Vergova-Petkova",1976,"F",25,185,105,"Bulgaria","BUL","Athletics Women's Discus Throw"
"3684","Mariya Dimitrova Vergova-Petkova",1980,"F",29,185,105,"Bulgaria","BUL","Athletics Women's Discus Throw"
"3685","William Franklyn ""Bill"" Verner",1904,"M",21,NA,NA,"United States","USA","Athletics Men's 1,500 metres"
"3686","William Franklyn ""Bill"" Verner",1904,"M",21,NA,NA,"Chicago Athletic Association","USA","Athletics Men's 4 mile, Team"
"3687","Sotirios Versis",1896,"M",NA,NA,NA,"Greece","GRE","Athletics Men's Discus Throw"
"3688","Ilmari Vesamaa",1920,"M",26,172,60,"Finland","FIN","Athletics Men's Cross-Country, Team"
"3689","Tatyana Leonidovna Veshkurova",2008,"F",26,175,64,"Russia","RUS","Athletics Women's 4 x 400 metres Relay"
"3690","Sandro Ricardo Rodrigues Viana",2008,"M",31,188,77,"Brazil","BRA","Athletics Men's 4 x 100 metres Relay"
